Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDZ27,OUT046,780.4579557950715
FDN57,OUT017,2339.8234287729633
FDA03,OUT018,2052.792758645784
FDZ36,OUT045,2918.8307562605582
NCU05,OUT013,1343.0095299862694
FDT39,OUT018,2189.0469036059826
FDK60,OUT017,1707.5190557574156
FDZ25,OUT017,2874.9660184420622
FDG12,OUT046,2017.0172710585985
DRB01,OUT019,1099.4974409368083
NCC43,OUT027,5359.412941726187
FDX13,OUT019,2058.912332838146
FDM22,OUT049,1017.0851299684712
FDJ03,OUT027,2265.3584662028493
FDU14,OUT018,3647.123192850823
FDB33,OUT010,669.2800151390388
FDP27,OUT046,3008.1690605833896
FDO38,OUT010,-645.5999067169913
FDE28,OUT027,5111.241567634286
FDO27,OUT035,1691.201585028054
DRL23,OUT027,3190.178859746094
FDS28,OUT046,936.1384478731761
FDX24,OUT013,1544.4709211374798
FDZ02,OUT035,1709.0547445535697
FDL46,OUT045,1800.7972855877242
FDS60,OUT027,4300.5654003373
NCO06,OUT017,624.4588366379438
FDO16,OUT035,1505.302830001679
FDC60,OUT049,1539.6151088104614
FDA48,OUT018,3192.670020519496
FDZ36,OUT027,4468.8873759988
FDK27,OUT045,1882.7053250199492
FDW23,OUT018,378.76950438884137
FDM14,OUT018,1535.915923257236
FDM14,OUT013,1814.748646502472
FDW60,OUT018,2603.0745048708627
FDE21,OUT013,1943.5305211785949
NCM42,OUT035,1875.3504863918647
FDY59,OUT010,-382.46075718989266
DRI49,OUT049,1357.4605640478171
FDT28,OUT019,482.20740902819375
FDQ22,OUT018,395.93549566773095
FDR60,OUT049,1326.4903430134875
FDC50,OUT019,-382.87344396981575
FDV24,OUT013,2439.4190611210447
DRF48,OUT010,1075.7514420828115
FDQ47,OUT046,642.4023181670482
DRN36,OUT049,1647.907371385466
NCY06,OUT035,2165.1667956054703
FDE52,OUT035,1605.730373348283
NCB54,OUT045,1957.10461589049
NCF31,OUT035,2541.0511580990947
FDJ08,OUT027,4476.809788706021
NCC07,OUT017,1787.0222306781648
NCD19,OUT027,2319.8373332102183
FDL46,OUT049,2015.1521487368059
FDM20,OUT045,3857.5569382886965
NCI06,OUT010,916.3954306058981
DRM11,OUT035,4237.600290655475
NCH07,OUT018,2198.643260482344
FDS23,OUT013,2086.3543357206113
FDO49,OUT018,602.2523954575413
FDS35,OUT049,1162.3746688540734
DRK39,OUT045,1235.5188726497852
DRI39,OUT049,1011.4232281758564
FDV04,OUT017,2607.8861230625785
NCN14,OUT035,3013.5664277847513
FDH08,OUT013,3729.193177536787
FDS20,OUT046,2939.5579813685968
FDV40,OUT049,1316.1198514315986
FDZ48,OUT010,-145.70630903238782
FDS24,OUT027,2912.5928035598827
FDK44,OUT049,2881.37924792031
FDS48,OUT045,2350.2969426525
FDK26,OUT010,1130.2877939586629
FDD23,OUT045,2989.663439411034
NCH54,OUT017,2633.754821854836
NCP14,OUT010,-266.4823753358629
FDM60,OUT010,-1198.7542998068434
FDV24,OUT017,2504.8745539378947
FDH08,OUT018,3384.9834389377584
FDS12,OUT027,3460.7937905861386
FDR39,OUT027,4313.267239474242
FDP12,OUT027,2121.876273920642
DRF60,OUT027,5164.102829413376
FDC09,OUT035,1883.0852873345762
FDF50,OUT018,2880.014737135308
FDG28,OUT035,4015.2814545688166
NCE19,OUT017,977.325148384517
NCM53,OUT010,-180.65208333567864
NCN18,OUT049,1861.6328949461995
FDF32,OUT035,3330.298800326272
FDF11,OUT013,3891.491936705717
DRI59,OUT049,3667.564425518071
NCG54,OUT035,2796.0098579356413
FDM44,OUT046,1676.309261292067
FDT57,OUT018,3459.6920775932617
FDV24,OUT046,2399.578680544208
FDI50,OUT019,1785.3927400173138
FDS09,OUT035,1022.6476110315512
NCC31,OUT027,3887.183497349844
FDQ07,OUT019,1622.954071474133
FDC22,OUT017,3155.408252538314
FDZ56,OUT046,2735.86438133649
FDZ40,OUT019,-1020.8333846293016
FDS46,OUT027,3384.8561399633704
DRD24,OUT045,2159.9150095364607
FDV45,OUT017,3101.102452655658
FDL26,OUT045,2436.7041149255424
FDA56,OUT018,1741.696753478398
FDN27,OUT046,1905.667409488918
FDM20,OUT049,4005.653144827945
FDO16,OUT017,1437.63692647962
FDL03,OUT035,3298.746894802694
FDE58,OUT046,1872.4261739786107
FDI02,OUT027,3305.745107936193
NCC55,OUT019,-1278.850237396262
FDR03,OUT018,3041.0735036723536
FDB14,OUT017,1659.1710007045185
FDR45,OUT013,3837.7885344399524
NCN07,OUT017,2173.797355795117
FDM51,OUT019,-192.30331962252944
FDT52,OUT027,5336.963168863094
FDL26,OUT046,2483.547220297906
NCZ42,OUT046,3753.5262365303392
DRI47,OUT019,445.48092839754486
FDW40,OUT013,2286.730334298199
FDN34,OUT046,2741.185104371428
FDS01,OUT035,3017.9804900206914
NCG55,OUT045,1765.5708001986218
FDC11,OUT035,1560.714325290086
FDX35,OUT018,3345.401916279898
NCB06,OUT046,2539.0825702191883
FDR09,OUT019,2182.4004569408853
FDC53,OUT017,1659.5280533030714
FDY45,OUT013,4069.9982998617475
FDA22,OUT010,771.8146480547612
FDE02,OUT035,1692.995497075
FDW21,OUT045,1603.9823908848152
FDV34,OUT046,1249.1329268139855
FDS59,OUT049,1907.0108062354798
NCW17,OUT017,2156.3995405840305
NCK54,OUT046,1853.7943188442355
FDG17,OUT019,1984.2293436603
FDG35,OUT017,2938.1709777068677
FDD08,OUT010,-1228.2259935261782
NCO07,OUT017,3442.98581921485
FDJ10,OUT010,348.6859478399774
FDW36,OUT017,1784.2532483217105
FDW21,OUT010,-227.433303505116
FDY19,OUT017,2036.827242313478
DRE03,OUT013,793.3616204340742
NCC55,OUT049,709.7808279568786
FDH52,OUT010,-848.2891965721501
FDO09,OUT017,4292.684190188273
FDU43,OUT045,3788.1134697593693
FDX09,OUT010,850.7859591294182
FDH40,OUT019,-546.0036716297063
FDW58,OUT017,1794.7340933896253
FDC47,OUT017,3671.5927352345575
NCR41,OUT035,1675.202058517177
DRG49,OUT035,3982.683486995554
FDC52,OUT027,3894.021603873645
FDY13,OUT046,1255.107529203087
FDY35,OUT013,836.1140480685874
FDI35,OUT017,3019.374611600661
NCU18,OUT049,2319.876954554897
FDY33,OUT018,2267.1784210243527
FDC15,OUT027,3884.4792533641507
FDU01,OUT049,3144.464827567205
NCU42,OUT046,2671.0622438039213
NCV29,OUT018,2547.564495756824
NCY30,OUT017,2981.84337103225
FDQ46,OUT049,1876.6125537482917
FDG58,OUT027,3923.5216026643734
FDK33,OUT017,3486.6496224481457
NCD07,OUT045,1751.1215656489871
NCX29,OUT027,3736.6529412404166
NCT42,OUT013,2369.515558733419
DRN59,OUT035,917.1953567758023
FDI44,OUT035,1451.0613615569605
FDA45,OUT049,2890.7788146822727
FDP31,OUT045,1052.6157282764802
FDY01,OUT046,1885.4052936878838
FDT09,OUT018,1893.1804232049053
DRH03,OUT027,2962.0555240384497
FDA36,OUT018,2703.6946548297224
NCF31,OUT017,2513.787644943073
FDG14,OUT049,2580.3042766854373
FDG28,OUT027,5345.70294931798
FDU14,OUT049,4017.306545101125
FDY47,OUT019,247.7935102050094
FDI56,OUT049,1582.485817242681
DRD01,OUT013,982.0964419836791
FDM22,OUT046,961.2461040406693
FDH33,OUT013,717.4766353687231
DRZ24,OUT013,1899.3897497283747
NCQ38,OUT046,1689.9798339864906
FDO16,OUT027,2801.4341576477923
FDU07,OUT027,3861.0691949198476
NCB07,OUT013,3073.4578906163592
FDU48,OUT045,2048.3076744703726
NCM43,OUT045,2549.9928742973957
FDR31,OUT010,463.8579100008451
DRK49,OUT018,401.8983007697043
NCI30,OUT010,1912.0332156159361
DRD60,OUT017,2963.261641397968
NCG19,OUT046,3657.4835017040546
FDH12,OUT035,1830.3486758352497
FDM32,OUT035,1672.5664287534496
FDM27,OUT035,2643.1197619682157
NCU53,OUT027,4095.8519965814926
NCQ18,OUT046,1541.208494554967
FDS10,OUT013,2874.9635427763974
FDB33,OUT027,4002.860846421308
FDI12,OUT013,1455.389150475045
NCW42,OUT013,3498.3648336705423
NCC06,OUT018,1755.0032067857442
FDW02,OUT017,2128.417378475375
NCD43,OUT017,1760.398890848237
FDM57,OUT018,1097.7500787943918
FDA58,OUT017,3825.4707018014255
FDK56,OUT046,2950.1360439414507
FDP52,OUT045,3619.5925139302203
FDW20,OUT018,1752.60958923634
FDS52,OUT049,1707.1913249765848
NCT29,OUT018,1635.0013732507512
NCL54,OUT013,2792.5410745258428
FDC05,OUT045,3076.53216167811
FDF34,OUT035,3309.3670337056287
FDP03,OUT027,3484.8141354326367
FDD32,OUT010,-483.1536884494441
FDZ10,OUT045,1981.3047652987175
FDZ40,OUT035,1023.3750543357278
FDD51,OUT018,403.60387392719826
NCY30,OUT019,932.3013407505946
FDP58,OUT017,3521.1733721449823
FDV49,OUT017,4313.53211065695
FDY24,OUT019,-1025.1635821557863
NCO55,OUT017,1800.3971759035362
FDR13,OUT017,2054.916806903558
FDS51,OUT017,1136.9299847445918
FDP26,OUT045,1553.905022872647
NCB54,OUT027,3512.140699390657
FDF32,OUT017,3259.4259170005694
FDN31,OUT018,2751.3483523120217
DRM48,OUT017,682.0211895132582
FDN20,OUT049,2827.968012397478
DRL01,OUT046,3721.681051162703
FDV56,OUT049,1910.529965852104
DRH13,OUT027,3168.8207091358886
FDA03,OUT017,2434.5976854784135
FDF47,OUT027,5003.642152720804
FDX32,OUT046,2398.030584842147
FDX57,OUT049,1691.945821266582
NCA30,OUT045,2895.900425684444
FDO49,OUT013,913.8000176488629
FDL04,OUT019,-260.6275534580884
DRM48,OUT035,740.5220871484981
FDR16,OUT013,3393.253416278231
NCC19,OUT018,2729.368251864283
NCE42,OUT045,3631.2290412682783
FDY24,OUT017,1036.2765917956785
FDH19,OUT049,2895.8339426934385
FDJ46,OUT013,2782.1325725474903
FDN45,OUT010,1596.458140973522
FDY08,OUT035,2418.30670288005
FDZ37,OUT035,1629.746339798103
NCT30,OUT045,680.8090081749402
DRY23,OUT018,432.2746621578483
NCZ30,OUT018,1646.2924843758583
FDC44,OUT018,1541.5145707421634
FDB45,OUT035,1873.902451967354
FDY04,OUT013,2649.1484882216514
FDM27,OUT046,2591.3003792903132
FDZ43,OUT017,3989.546562308977
FDT39,OUT019,570.106027591163
NCC06,OUT019,108.8313367122048
FDL15,OUT027,3903.0745383456465
FDL57,OUT017,4199.169376482343
FDU08,OUT046,1635.2897812118013
FDK40,OUT017,4257.03684070218
FDQ12,OUT010,1719.5423120987311
FDS48,OUT017,2526.765559453645
FDP09,OUT045,3287.740174711463
FDW21,OUT049,1742.7352051585228
FDY25,OUT035,3055.564105214699
DRE13,OUT017,1476.6268005926709
FDV43,OUT019,-1156.6781996158873
FDD22,OUT045,1705.1101064607587
FDM46,OUT019,-464.5299204118314
NCO30,OUT010,1003.4112335804016
FDM25,OUT046,2812.251903620219
NCN41,OUT049,2060.812490374518
FDU24,OUT045,1457.9125379856398
FDZ50,OUT046,2913.7937669399685
FDP45,OUT013,4042.6945054919956
NCM54,OUT045,1916.9890902343777
FDW10,OUT019,870.3130865260343
FDP20,OUT017,2188.9157750949075
FDK32,OUT046,2485.0356953505966
FDN52,OUT049,1512.220241979513
FDM58,OUT045,1765.9488783518946
FDZ46,OUT027,3218.9404751688926
NCA18,OUT018,1566.5261448154947
FDD35,OUT046,1987.424348780164
NCK31,OUT035,960.9442877984834
FDI40,OUT027,3066.3216410512746
FDT50,OUT019,-347.0479212731277
NCT06,OUT046,2591.8590631514976
FDT31,OUT035,3172.3405227330127
FDT45,OUT049,972.3431452564396
FDT13,OUT045,2940.576589415437
FDO50,OUT045,1426.1817331784544
NCU18,OUT010,296.0204561430214
NCR54,OUT049,3144.642149473448
NCO18,OUT018,2527.697548967766
FDU09,OUT045,892.5045839787317
FDT13,OUT018,2739.0256808751415
FDE09,OUT046,1847.289050673207
NCK53,OUT019,-267.63912683324247
FDG45,OUT049,3523.4728784869662
DRH15,OUT035,847.7737018271932
FDO21,OUT019,1700.578695218669
FDD14,OUT027,4369.524444876575
FDC09,OUT046,1739.5438532490393
FDH45,OUT027,2239.1712101026196
FDV32,OUT046,1092.600601400883
FDG12,OUT035,2113.864123960297
FDS32,OUT013,2352.1232588895805
NCL55,OUT018,3668.0422723104343
DRE01,OUT035,3933.9791959603876
DRE15,OUT049,1326.6882167273889
NCL42,OUT045,3801.2308952436683
FDP31,OUT013,1126.916773448866
FDN33,OUT018,1247.0665013548114
FDZ59,OUT046,2652.5620313607665
FDE45,OUT010,955.618721503985
FDJ07,OUT013,1946.1270171802803
FDQ45,OUT018,2696.680754854918
FDM33,OUT027,4900.615857950954
FDO15,OUT010,-613.9447879656058
FDM46,OUT013,1487.7547242918793
FDR03,OUT045,3247.2876423384864
FDY49,OUT018,2453.533292019693
FDQ60,OUT045,1864.0901273566415
FDW10,OUT049,2905.372361665371
FDO51,OUT049,895.8529206250346
FDJ40,OUT018,1490.9652368493496
FDS20,OUT018,2649.1298490359377
FDU45,OUT013,1877.4199738547536
FDV02,OUT035,2799.254569027053
FDN09,OUT046,3827.001673367478
NCM55,OUT027,4390.732789797054
FDN23,OUT018,2074.3534985678516
FDY31,OUT010,437.3085329014116
FDW03,OUT010,-143.33209662152285
FDD14,OUT046,2907.834438801699
FDV23,OUT017,2111.774602048241
DRI03,OUT045,2693.957267973305
FDN13,OUT035,1729.5034792698582
FDF45,OUT027,2524.7103047926553
FDU46,OUT035,1608.297643210903
FDB57,OUT049,3701.087933188092
FDV12,OUT049,1766.7721086728832
FDQ58,OUT013,2444.0892902236214
NCA18,OUT017,1929.6485940292496
FDH52,OUT049,1141.3523594828469
FDM24,OUT018,2153.003175199032
NCP43,OUT027,4315.874866641234
NCO18,OUT019,883.6119741101033
FDM32,OUT017,1625.1245835097334
NCL07,OUT017,740.9644901056
FDK03,OUT013,4027.1744093731063
FDP59,OUT017,1803.7147558843421
FDQ24,OUT049,4076.7032784017533
FDQ16,OUT018,1465.658500730352
FDU44,OUT013,2661.478269163917
FDH28,OUT010,-1269.929257414083
FDV28,OUT019,-1327.429524386905
FDM22,OUT045,862.7626619423404
FDR56,OUT046,3169.763261345636
FDV39,OUT049,3235.510156786366
FDU37,OUT019,-546.9501801650908
FDQ11,OUT010,2209.6809200370103
FDX02,OUT045,3429.0204906774975
NCS42,OUT018,1180.4447055771582
FDY57,OUT027,2993.806368383976
FDB21,OUT049,3923.285858077895
FDE28,OUT017,3731.5052304674823
FDQ55,OUT017,2011.499428514784
FDA48,OUT049,3604.645856936691
FDZ19,OUT045,2722.3375562216584
NCC43,OUT045,3868.1020165221994
NCV18,OUT046,1281.0011230840737
NCA42,OUT018,2226.9499477130853
FDY45,OUT046,4048.700660126667
NCC30,OUT045,2743.7237739101224
FDM57,OUT013,1443.6033435003612
FDL09,OUT010,732.118522014589
FDB09,OUT027,3482.0327220476242
FDT44,OUT035,2069.9537968258646
NCT06,OUT027,4033.1223967828987
FDX26,OUT049,2960.736291733129
FDK32,OUT013,2546.6526162905025
DRA12,OUT046,2262.577066094295
FDO46,OUT010,1117.5438807630471
FDE52,OUT013,1447.5348862009887
NCH42,OUT045,3539.5568653011946
FDV08,OUT035,896.2950972858498
FDB47,OUT018,3045.210004557183
FDC28,OUT010,-164.74218159517534
FDD22,OUT046,1806.4451868097347
FDS07,OUT027,3320.165641833553
DRI13,OUT045,3351.366543362334
FDG32,OUT018,3247.1473285594348
FDU14,OUT017,4026.113300334719
FDD28,OUT019,-951.9884116501305
NCP41,OUT017,1871.7862026730827
FDS08,OUT049,2910.5211116392343
FDX47,OUT045,2495.1553874956703
FDC53,OUT019,-280.29968450806587
FDQ19,OUT035,4040.3339578682476
FDL14,OUT045,2474.979591699101
FDM33,OUT019,1574.228611844741
FDA51,OUT045,1719.6467935725655
FDZ27,OUT018,510.30908192290303
FDT04,OUT046,660.3495390934331
DRC13,OUT049,2119.8100551995662
FDR16,OUT027,4849.249121929046
FDQ03,OUT027,5220.5582676839695
FDE38,OUT035,2844.5925405308676
DRH23,OUT027,2364.224781942687
FDT11,OUT019,1142.229988206403
FDD09,OUT035,3041.52577827891
FDR40,OUT045,1295.8418389258982
FDX07,OUT017,3101.819326924439
FDR07,OUT035,1738.192847930377
FDA51,OUT017,1909.0913562978672
FDT59,OUT019,1771.05653418042
FDF20,OUT017,3237.5892032872057
FDR13,OUT045,1852.8707752672667
FDY26,OUT049,3437.798798510966
FDW04,OUT017,2197.282061462279
FDK52,OUT017,3661.820492818699
FDN60,OUT049,2592.2226462741296
FDM09,OUT019,832.585819117038
FDP46,OUT049,1508.477681258538
FDB50,OUT019,-633.6720883168077
NCQ29,OUT049,4160.568052769126
FDP16,OUT027,5306.788291035102
FDX33,OUT018,2301.4411777065006
FDP07,OUT010,1243.0485176658854
FDN22,OUT046,3975.1263580872223
FDF39,OUT049,4247.582931541339
FDS21,OUT017,1150.481301415636
NCM42,OUT013,1728.0498277823638
FDK50,OUT019,744.4205863277568
DRF13,OUT027,3777.7588990316913
FDH35,OUT018,2354.9758936933717
FDP60,OUT018,1332.3742227648822
DRJ49,OUT027,3520.871288073455
NCT42,OUT019,444.969926082764
FDE38,OUT049,2796.095830369381
FDI04,OUT049,3256.9337846249186
NCH54,OUT045,2403.7411807786907
FDT56,OUT049,1127.1726273075415
DRD15,OUT018,3358.120547198378
FDV58,OUT013,3114.809977002949
FDP21,OUT049,3107.390355456378
FDH05,OUT013,3717.0583481627414
FDR10,OUT027,4027.3986347702707
NCP06,OUT045,2283.003520982786
FDF33,OUT049,2009.5482816561826
DRK37,OUT013,3012.073302117867
DRH49,OUT045,1292.6967930344833
FDT58,OUT013,2677.243499760924
FDD41,OUT018,1409.390503135821
FDP40,OUT018,1519.075341533923
FDM51,OUT027,3141.6854926766373
FDO45,OUT010,-474.00859028525326
FDW33,OUT010,-232.70869932504422
FDY24,OUT045,890.5531900964984
FDB10,OUT010,1823.0079228623608
FDM40,OUT035,2350.3409268940254
NCI06,OUT017,2942.7141698969567
FDW12,OUT019,445.40917915920113
FDX48,OUT027,3967.3645367608437
NCW05,OUT027,3139.009931350243
FDX27,OUT017,1628.3448256696065
DRM37,OUT045,3037.555348535471
FDA38,OUT045,3717.9918950559127
FDR36,OUT046,704.714884949193
FDZ45,OUT046,3140.617314516648
FDG05,OUT017,2633.9445496727353
FDK28,OUT013,4084.2155800978258
FDV47,OUT045,1332.3635170053358
FDN21,OUT045,2471.941573160529
FDP20,OUT027,3523.2379873723144
FDI35,OUT045,2845.358498194338
DRY23,OUT013,762.6130056859315
FDA56,OUT017,2118.849986633129
FDB09,OUT013,2038.54662639045
NCO26,OUT027,3290.1321121641654
FDQ49,OUT018,2273.875757820693
FDI52,OUT027,3373.0175792375926
FDZ44,OUT027,3372.9126248447897
FDZ09,OUT018,2315.612202656277
FDY03,OUT049,1952.8077007992456
NCG42,OUT017,2152.677967362106
DRI13,OUT027,4887.6631995587995
FDQ32,OUT013,2120.600346147158
FDW16,OUT035,1638.088205446755
FDU27,OUT046,798.8025352577661
FDR28,OUT010,705.3141686848417
FDQ49,OUT010,662.2133448108939
FDS37,OUT046,1901.3343576793777
FDW26,OUT018,3198.6254334625946
FDX12,OUT018,3586.512103381921
NCP06,OUT013,2403.891751634666
FDW45,OUT010,401.2459828530109
NCN30,OUT049,1601.7104625528282
FDN24,OUT049,966.9016163328474
NCL41,OUT027,2014.3966790550853
FDR02,OUT019,-158.67659204766392
FDD09,OUT010,1005.7721006940105
FDS33,OUT010,-452.74790590175905
FDU22,OUT045,1829.575336254879
FDI53,OUT013,2608.5577919016564
DRH01,OUT049,2853.8375669375087
FDX32,OUT013,2374.055742980087
NCP30,OUT018,370.45732871588893
FDB60,OUT045,3048.3458107801466
FDB14,OUT049,1664.456984533883
NCP02,OUT035,1071.4329768834905
FDJ10,OUT017,2355.809455301251
FDG34,OUT046,1827.3470314496226
NCB18,OUT017,1497.749963224473
FDM16,OUT049,1332.0505901825286
FDW25,OUT018,1123.0028261468499
FDB35,OUT010,-379.0227314270056
DRN11,OUT013,2288.4733688499714
FDF41,OUT019,1955.4962477858394
FDH16,OUT045,1336.066774296359
NCQ50,OUT018,3058.4218104653473
DRH23,OUT018,638.421372588972
DRJ37,OUT013,2426.745341265238
DRJ24,OUT027,4341.552355885266
FDY16,OUT035,3061.6432595400606
FDQ27,OUT045,1671.2522553165109
FDZ33,OUT045,2276.370898603605
FDF29,OUT045,2058.753882112232
FDA08,OUT049,2768.963701354762
FDG31,OUT046,1091.964554459968
FDE34,OUT019,1031.6872907975303
NCR30,OUT027,2614.8925073347655
FDV33,OUT035,4259.793063411331
DRZ24,OUT018,1643.8498754805776
NCL54,OUT035,2857.339364597428
FDR12,OUT049,2896.693857337286
NCC54,OUT046,3803.3587892756736
DRN59,OUT013,823.6160312525053
FDX50,OUT019,-173.32850625760534
FDV31,OUT027,4301.261472011478
NCA29,OUT027,4168.664025450416
FDW60,OUT049,2962.0562589296164
FDX08,OUT017,3044.020212397692
DRD49,OUT013,3710.2958198574056
FDD33,OUT046,3674.1878384316083
FDW35,OUT013,768.2687070962829
FDJ36,OUT017,1785.945838536015
FDV51,OUT035,2801.172533917075
FDW36,OUT046,1717.78892831929
FDH35,OUT046,2653.1941635452763
NCS30,OUT027,3497.044903742753
FDN49,OUT017,787.6188170648867
FDL08,OUT018,3643.3655707039
FDI09,OUT013,4032.5089250531432
FDP19,OUT018,1791.6376999255187
FDU21,OUT010,-1323.9043476196464
NCP41,OUT045,1668.169931408715
FDY10,OUT013,1835.3368756043665
FDP12,OUT018,391.7422936554326
NCN26,OUT049,1932.8824730563656
FDK44,OUT013,2816.8766256557415
FDC28,OUT049,1827.8111063116894
FDJ41,OUT027,5588.904433032205
NCT29,OUT035,2114.1227767953023
NCH42,OUT019,1684.9864101362923
FDU60,OUT018,2424.490980681528
FDS02,OUT045,2969.611297297562
FDC51,OUT046,1990.1401446424575
FDU03,OUT013,2963.9997044614797
FDX39,OUT045,3329.01903811719
NCY05,OUT010,-1296.1473410486851
NCL06,OUT027,5511.944399984368
FDD32,OUT035,1537.885468543941
NCN41,OUT045,1892.4805180478525
NCX53,OUT049,2362.611057684892
FDU57,OUT019,503.4008390392453
FDQ23,OUT046,1695.014292486525
FDQ52,OUT045,3820.0515268816475
FDC14,OUT045,686.7723799939816
FDY09,OUT035,2954.500026605828
FDQ28,OUT045,2437.5270892705025
FDV25,OUT046,3529.659433130086
FDJ07,OUT035,2024.9466889072532
DRB25,OUT049,1777.4620870477802
FDK52,OUT019,1628.2338659553184
FDY52,OUT027,2479.012910396082
FDB28,OUT046,3087.2906707268726
FDT36,OUT035,749.5873079475251
FDV25,OUT017,3650.6188123747847
NCN07,OUT027,3525.2030927076053
FDC57,OUT017,3244.556418999818
FDQ03,OUT018,3501.23070682271
FDU23,OUT017,2782.170456451841
NCX41,OUT035,3515.359639022216
NCD06,OUT035,878.7771642591147
FDW08,OUT045,1653.327899584795
NCU29,OUT017,2420.8941317385284
NCE06,OUT013,2546.185865621113
FDV52,OUT010,-41.106656108479456
FDB02,OUT017,2988.440917889779
NCR18,OUT045,630.2372898535746
FDK16,OUT049,1615.6085950456156
NCQ29,OUT010,2134.6099961304676
FDZ01,OUT019,-138.19347479712383
FDW27,OUT035,2659.391912895991
FDD17,OUT018,3464.1816194602898
FDW39,OUT013,2886.178999927705
DRH59,OUT045,1120.872309179203
FDS52,OUT013,1661.2814033156537
FDU40,OUT027,4527.291132051778
NCF54,OUT013,2757.67804808383
FDH46,OUT045,1624.4709500754516
NCP14,OUT049,1714.0199409535776
FDH50,OUT049,3124.2599401280127
DRF15,OUT010,503.76921803918185
FDV27,OUT027,2915.8012191438124
NCJ06,OUT049,1995.7256911775962
FDN02,OUT018,3001.5906414683136
FDQ51,OUT049,925.3481706186103
FDQ07,OUT017,3692.636521747781
FDS45,OUT049,1830.9125333451952
NCJ06,OUT045,1844.5171690938796
FDD36,OUT035,2039.6920712987112
FDY25,OUT045,2865.203290994162
FDU52,OUT046,2441.9501171372626
DRK47,OUT017,3696.5154857742277
NCL30,OUT017,2126.9096099609874
FDN22,OUT035,4129.569361673812
NCF30,OUT027,3414.456453609287
